01/03/2022 12:38:00 PM,Bronx,Pelham Bay Park,Ring-Billed Gull,Native,Injured,Birds,1
01/04/2022 3:00:00 PM,Brooklyn,Calvert Vaux Park,Rock Dove,Native,Unhealthy,Birds,1
01/06/2022 8:30:00 AM,Brooklyn,Prospect Park,Mute Swan,Invasive,Injured,Birds,1
01/07/2022 8:30:00 AM,Bronx,Pelham Bay Park,White-throated Sparrow,Native,Healthy,Birds,1
01/07/2022 10:30:00 AM,Bronx,Pelham Bay Park,White-throated Sparrow,Native,Healthy,Birds,1
01/07/2022 12:20:00 PM,Manhattan,Central Park,Mallard Duck,Native,N/A,Birds,1
01/07/2022 12:20:00 PM,Manhattan,Central Park,Mallard Duck,Native,Unhealthy,Birds,1
01/07/2022 12:20:00 PM,Manhattan,Central Park,Mallard Duck,Native,Unhealthy,Birds,1
01/09/2022 9:00:00 AM,Brooklyn,Belt Parkway/Shore Parkway,Herring Gull,Native,N/A,Birds,0
01/09/2022 12:30:00 PM,Queens,Brookville Park,Chicken,Domestic,Injured,"Birds, Domestic",1
01/09/2022 12:45:00 PM,Manhattan,Central Park,Mallard Duck,Native,Unhealthy,Birds,1
01/11/2022 11:30:00 AM,Staten Island,Willowbrook Park,Canada Goose,Native,Injured,Birds,1
01/12/2022 5:00:00 PM,Brooklyn,Bush Terminal Park,Red-breasted Merganser,Native,Unhealthy,Birds,0
01/13/2022 3:00:00 PM,Brooklyn,Prospect Park,Canada Goose,Native,Injured,Birds,0
01/14/2022 9:30:00 AM,Brooklyn,Prospect Park,Mute Swan,Invasive,Unhealthy,Birds,1
01/14/2022 1:00:00 PM,Brooklyn,Bush Terminal Park,Red-breasted Merganser,Native,Injured,Birds,0
01/15/2022 11:00:00 AM,Brooklyn,Bush Terminal Park,Red-breasted Merganser,Native,Injured,Birds,0
01/17/2022 9:00:00 AM,Brooklyn,Prospect Park,Bird (Unknown),Domestic,N/A,"Domestic, Birds",0
01/17/2022 1:15:00 PM,Manhattan,Central Park,Mallard Duck,Native,Unhealthy,Birds,1
01/18/2022 11:30:00 AM,Manhattan,Central Park,Northern Cardinal,Native,Injured,Birds,1
01/19/2022 9:00:00 AM,Brooklyn,Brooklyn Bridge Park,Chicken,Domestic,Healthy,"Domestic, Birds",1
01/20/2022 8:40:00 AM,Queens,Flushing Meadows Corona Park,Chicken,Domestic,Healthy,"Domestic, Birds",0
01/22/2022 9:00:00 AM,Brooklyn,Prospect Park,Great Blue Heron,Native,Injured,Birds,0
01/22/2022 9:45:00 AM,Queens,Powell's Cove Park,Mute Swan,Invasive,DOA,Birds,0
01/22/2022 3:30:00 PM,Brooklyn,Prospect Park,Great Blue Heron,Native,Injured,Birds,0
01/22/2022 4:30:00 PM,Manhattan,Central Park,Lesser Scaup,Native,Unhealthy,Birds,1
