Date and Time of initial call,Date and time of Ranger response,Borough,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
06/23/2021 04:45:00 PM,06/24/2021 08:00:00 AM,Brooklyn,Sternberg Park,Inside locked athletic field under construction,Chukar,Other,Exotic,Healthy,6,Adult,Birds,311-06712416,ACC,6,false,false,,,false,false,163537
06/24/2021 10:00:00 AM,06/24/2021 11:00:00 AM,Bronx,Haffen Park,Haffen Pool,Sparrow,Central,Native,Healthy,1.75,Infant,Birds,311-06714879,Rehabilitator,4,false,false,,,false,false,
06/23/2021 02:30:00 PM,06/23/2021 02:30:00 PM,Bronx,Pelham Bay Park,Pelham Bay South,White-tailed Deer,Employee,Native,N/A,1,Juvenile,Deer,,Unfounded,0,false,false,,,false,false,
06/23/2021 01:00:00 PM,06/23/2021 01:10:00 PM,Staten Island,Willowbrook Park,The carousel,Raccoon,Employee,Native,N/A,2,Adult;#Juvenile,Small Mammals-RVS,,Unfounded,0,false,false,,,false,false,
06/23/2021 09:20:00 AM,06/23/2021 09:20:00 AM,Queens,Judge Moses Weinstein Playground,Garbage can,Virginia Opossum,Central,Native,Healthy,2.25,Juvenile,Small Mammals-non RVS,311-06699415,ACC,1,false,false,,,false,false,119833
06/23/2021 09:00:00 AM,06/23/2021 09:10:00 AM,Staten Island,Clove Lakes Park,Martling Pond on shore,Domestic Duck,Employee,Domestic,Healthy,1.25,Adult,Domestic;#Birds,311-06700321,ACC,1,false,false,,,false,false,119822
06/23/2021 05:30:00 AM,06/23/2021 08:20:00 AM,Staten Island,Willowbrook Park,Pond,Canada Goose,Employee,Native,Injured,0.5,Juvenile,Birds,,Unfounded,0,false,false,,,false,false,
06/22/2021 03:00:00 PM,06/22/2021 03:00:00 PM,Queens,Travers Park,78th Street Plaza,Cat,Public,Domestic,Unhealthy,1,Adult,Domestic,,Unfounded,0,false,false,,,false,false,
06/22/2021 03:30:00 PM,06/22/2021 03:30:00 PM,Brooklyn,Prospect Park,V/O Drummers Circle,Dog,Employee,Domestic,Injured,0.5,Juvenile,Domestic,,ACC,1,true,false,,,false,false,
06/22/2021 11:30:00 AM,06/22/2021 11:30:00 AM,Manhattan,Highbridge Park,Coogan's Bluff Playground,Dog,Central,Domestic,N/A,0.75,Adult,Domestic,,Unfounded,0,false,false,,,false,false,
06/22/2021 11:55:00 AM,06/22/2021 11:55:00 AM,Queens,Forest Park,Giovanelli Playground,Eastern Rat Snake,Central,Native,Healthy,2,Juvenile,Terrestrial Reptile or Amphibian,311-06691186,Relocated/Condition Corrected,1,false,false,,,false,false,
06/22/2021 12:00:00 PM,06/22/2021 12:00:00 PM,Manhattan,Inwood Hill Park,214th and Seaman Ave,Eastern Gray Squirrel,Employee,Native,Injured,0.5,Adult,Small Mammals-non RVS,,Advised/Educated others,1,false,true,,0.5,false,false,
06/22/2021 11:30:00 AM,06/22/2021 12:00:00 PM,Brooklyn,Marine Park,Salt Marsh Nature Trail,Domestic Rabbit,Employee,Domestic,Healthy,2,Adult,Domestic,,Unfounded,0,false,false,,,false,false,
06/21/2021 02:02:00 PM,06/21/2021 02:02:00 PM,Queens,Queens Botanical Garden,Education building,Northern Cardinal,Central,Native,Injured,2.75,Juvenile,Birds,311-06682248,Rehabilitator,1,false,false,Wild Bird Fund,,false,false,
06/21/2021 02:45:00 PM,06/21/2021 02:50:00 PM,Staten Island,Franklin D. Roosevelt Boardwalk and Beach,PEP Trailer,Mallard Duck,Employee,Native,Healthy,1.5,Infant,Birds,311-06684155,ACC,1,true,false,,,false,false,52440
06/21/2021 08:50:00 AM,06/21/2021 03:50:00 PM,Bronx,Van Cortlandt Park,Van Cortlandt Lake and its trails,Double-crested Cormorant,"Conservancies/""Friends of"" Groups",Native,Healthy,0.75,Adult,Birds,311-06684-300,Monitored Animal,1,false,true,,3,false,false,
06/21/2021 09:20:00 AM,06/21/2021 12:00:00 PM,Manhattan,Central Park,West 97 St entrance,Raccoon,Central,Native,Injured,0.5,Juvenile,Small Mammals-RVS,311- 06678452,Unfounded,0,false,false,,,false,false,
06/21/2021 08:50:00 AM,06/21/2021 09:05:00 AM,Bronx,Van Cortlandt Park,Adjacent to Golf Clubhouse past golf cart parking,Double-crested Cormorant,"Conservancies/""Friends of"" Groups",Native,Injured,0.3,Adult,Birds,N/A,Unfounded,0,false,false,,,false,false,
06/16/2021 12:00:00 PM,06/16/2021 01:00:00 PM,Brooklyn,Prospect Park,Prospect Lake near LeFrak Center,Domestic Duck,"Conservancies/""Friends of"" Groups",Domestic,Unhealthy,2,Adult,Domestic;#Birds,311-06621675,ACC,1,false,false,,,false,false,119360
06/20/2021 09:00:00 AM,06/20/2021 03:00:00 PM,Manhattan,Inwood Hill Park,Northwest edge of Gaelic Field,Common Snapping Turtle,Employee,Native,N/A,1,Adult,Terrestrial Reptile or Amphibian,,Unfounded,0,false,false,,,false,false,
06/19/2021 09:00:00 AM,06/19/2021 10:00:00 AM,Manhattan,Inwood Hill Park,Payson Visitor Center,Common Snapping Turtle,Employee,Native,Healthy,0.5,Adult,Terrestrial Reptile or Amphibian,,Relocated/Condition Corrected,1,false,true,,0.5,false,false,
06/20/2021 02:30:00 PM,06/20/2021 02:45:00 PM,Queens,Udall's Park Preserve,Trail off of 247th St and 40th Ave,Chicken,Central,Domestic,Unhealthy,2,Adult,Domestic;#Birds,311-06668041,ACC,1,false,false,,,false,false,119706
06/19/2021 02:00:00 PM,06/19/2021 03:00:00 PM,Queens,Rockaway Beach and Boardwalk,On Beach 109th St,Dog,Central,Domestic,Healthy,3,Adult,Domestic,311-0665718,ACC,1,false,false,,,false,false,119644
